TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2026-01-14 05:30:20.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-0465
2026-01-14 05:30:30.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:30.936,-0.05338611,0.0,0.0,-0.3599758,0.59570694,0.0,0.0,0.37695485,1.147939,0.0,0.0,0.95707804,1.6423386,0.0,0.0,1.4693321,1.656463,0.0,0.0,1.529467,758.1456,769.74,762.925,753.1893,740.00183,732.21326,726.6374,1114.8263,-0.4422607421875,-0.0438232421875,0.911865234375,0.67291259765625,-1.55517578125,1.77947998046875,6.212377750756979,6.112829315976445,4.860813961805307,4.2901347066256585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.053986,1,1.0,1.0,1.0,1.0,74.30
2026-01-14 05:30:31.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:31.948,0.12124952,0.0,0.0,-0.42402482,0.5675579,0.0,0.0,0.3409612,1.3043387,0.0,0.0,0.8579854,1.70091,0.0,0.0,1.4535149,1.7014748,0.0,0.0,1.5086107,737.9662,754.16284,742.56854,737.6122,679.729,673.268,647.33563,1202.7131,-0.44183349609375,-0.04278564453125,0.914794921875,0.418701171875,0.49346923828125,0.777587890625,6.141027585055909,6.030981093388647,4.753453019574184,4.183841880647545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.74689,1,1.0,1.0,1.0,1.0,74.29
2026-01-14 05:30:32.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:32.956,0.031101879,0.0,0.0,-0.42402482,0.43833187,0.0,0.0,0.3409612,1.3228502,0.0,0.0,0.8579854,1.7512274,0.0,0.0,1.4535149,1.762604,0.0,0.0,1.5086107,734.3374,690.7923,730.0006,733.0098,618.8366,605.4721,604.23303,1018.17737,-0.4407958984375,-0.04168701171875,0.92047119140625,0.37384033203125,-1.1962890625,0.07476806640625,6.203405574231695,6.112371551868011,4.8471115561595495,4.290073671411201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.58693,1,1.0,1.0,1.0,1.0,74.29
2026-01-14 05:30:33.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:33.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:33.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:33.964,-0.0880334,0.0,0.0,-0.006860382,0.6048287,0.0,0.0,0.75656515,1.0104278,0.0,0.0,1.0852622,1.639927,0.0,0.0,1.6702514,1.6839263,0.0,0.0,1.7418956,741.6835,742.0375,745.2237,726.3718,754.5169,761.15485,746.28577,1208.2891,-0.43597412109375,-0.0380859375,0.9193115234375,0.127105712890625,-0.2392578125,-0.79254150390625,6.253362897265336,6.186468302219679,4.918980521183511,4.391300574589324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.51778,1,1.0,1.0,1.0,1.0,74.29
2026-01-14 05:30:34.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:34.974,0.07341718,0.0,0.0,-0.02526565,0.61764205,0.0,0.0,0.7119701,1.2113886,0.0,0.0,1.2171321,1.6967053,0.0,0.0,1.700167,1.7381877,0.0,0.0,1.7600868,750.9766,758.7652,754.7824,741.3294,776.0239,774.96185,746.28577,1208.4661,-0.4373779296875,-0.0452880859375,0.9217529296875,0.10467529296875,-0.844879150390625,-0.299072265625,6.26795031352073,6.209203919605178,4.941685620961781,4.423038886107336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.60174,1,1.0,1.0,1.0,1.0,74.29
2026-01-14 05:30:35.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:35.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:35.982,0.08388996,0.0,0.0,-0.05146441,0.54135996,0.0,0.0,0.60573334,1.18431,0.0,0.0,1.1953727,1.7179546,0.0,0.0,1.7428315,1.753048,0.0,0.0,1.7988244,760.0043,762.3939,753.89734,741.8605,763.0135,763.0135,773.2802,1309.3634,-0.4365234375,-0.04449462890625,0.91900634765625,0.127105712890625,-0.515899658203125,0.46356201171875,6.288976944901414,6.2375547767207875,4.968663185752092,4.462467634647021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.760284,1,1.0,1.0,1.0,1.0,74.29
2026-01-14 05:30:36.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
